"method","k","replicates","mean_time","median_time","lower","upper"
"SVP Gaussian / none / c = 0.968",11,48,0.343958333333321,0.343999999999937,0.343000000000075,0.344000000000051
"SVP Gaussian / none / c = 0.968",12,48,0.344812499999991,0.345000000000027,0.344000000000051,0.345000000000027
"SVP Gaussian / none / c = 0.968",13,48,0.345124999999989,0.345000000000027,0.3449999999998,0.345000000000027
"SVP Gaussian / none / c = 0.968",14,48,0.345395833333337,0.345000000000027,0.345000000000027,0.346000000000004
"SVP Gaussian / none / c = 0.968",15,48,0.345395833333347,0.345000000000027,0.345000000000027,0.346000000000004
"SVP Gaussian / none / c = 0.968",16,48,0.346166666666647,0.346000000000004,0.345000000000027,0.346499999999992
"SVP Gaussian / none / c = 0.968",17,48,0.34597916666668,0.345500000000015,0.345000000000027,0.346000000000004
"SVP Gaussian / none / c = 0.968",18,48,0.346791666666654,0.34699999999998,0.346000000000004,0.34699999999998
"SVP Gaussian / none / c = 0.968",19,48,0.345729166666677,0.345500000000015,0.345000000000027,0.346000000000004
"SVP Gaussian / none / c = 0.968",20,48,0.34622916666667,0.346000000000004,0.345000000000027,0.346000000000004
"SVP Gaussian / none / c = 0.968",21,48,0.347166666666647,0.34699999999998,0.346000000000004,0.34699999999998
"SVP Gaussian / none / c = 0.968",22,48,0.346791666666668,0.346000000000004,0.346000000000004,0.34699999999998
"SVP Gaussian / none / c = 0.968",23,48,0.346791666666682,0.34699999999998,0.346000000000004,0.34699999999998
"SVP Gaussian / none / c = 0.968",24,48,0.346875,0.346000000000004,0.346000000000004,0.347500000000082
"SVP Gaussian / none / c = 0.968",25,48,0.347958333333343,0.34699999999998,0.346000000000004,0.347500000000082
"SVP Gaussian / none / c = 0.968",26,48,0.346312500000006,0.346000000000004,0.346000000000004,0.34699999999998
"SVP Gaussian / none / c = 0.968",27,48,0.346645833333329,0.346000000000004,0.346000000000004,0.34699999999998
"SVP Gaussian / none / c = 0.968",28,48,0.346958333333331,0.346000000000004,0.346000000000004,0.34699999999998
"SVP Gaussian / none / c = 0.968",29,48,0.347458333333336,0.347499999999968,0.34699999999998,0.347999999999956
"SVP Gaussian / none / c = 0.968",30,48,0.346833333333339,0.346000000000004,0.346000000000004,0.34699999999998
"SVP Gaussian / none / c = 0.968",31,48,0.347604166666675,0.347999999999956,0.34699999999998,0.347999999999958
"SVP Gaussian / none / c = 0.968",32,48,0.348270833333342,0.347999999999956,0.34699999999998,0.34800000000007
"SVP Gaussian / none / c = 0.968",33,48,0.348104166666668,0.347999999999956,0.34699999999998,0.348999999999933
"SVP Gaussian / none / c = 0.968",34,48,0.347729166666663,0.347000000000207,0.34699999999998,0.347999999999956
"SVP Gaussian / none / c = 0.968",35,48,0.348020833333337,0.347999999999956,0.34699999999998,0.348000000000184
"SVP Gaussian / none / c = 0.968",36,48,0.348333333333327,0.347999999999956,0.347499999999968,0.347999999999956
"SVP Gaussian / none / c = 0.968",37,48,0.348395833333354,0.347999999999956,0.347000000000207,0.348999999999933
"SVP Gaussian / none / c = 0.968",38,48,0.348958333333305,0.348000000000127,0.347999999999956,0.348999999999933
"SVP Gaussian / none / c = 0.968",39,48,0.34952083333332,0.348999999999933,0.348999999999933,0.349999999999909
"SVP Gaussian / none / c = 0.968",40,48,0.349833333333336,0.349500000000035,0.348999999999933,0.350000000000136
"SVP Gaussian / none / c = 0.968",41,48,0.348833333333322,0.347999999999956,0.347999999999956,0.348999999999933
"SVP Gaussian / none / c = 0.968",42,48,0.349062499999998,0.348500000000058,0.347999999999956,0.34900000000016
"SVP Gaussian / none / c = 0.968",43,48,0.349249999999988,0.34900000000016,0.348499999999831,0.349012500000157
"SVP Gaussian / none / c = 0.968",44,48,0.349770833333369,0.34900000000016,0.34900000000016,0.349999999999909
"SVP Gaussian / none / c = 0.968",45,48,0.35035416666666,0.349999999999909,0.34900000000016,0.350000000000364
"SVP Gaussian / none / c = 0.968",46,48,0.350020833333344,0.349999999999909,0.34900000000016,0.350000000000023
"SVP Gaussian / none / c = 0.968",47,48,0.350270833333305,0.349999999999909,0.34900000000016,0.349999999999909
"SVP Gaussian / none / c = 0.968",48,48,0.350270833333331,0.349999999999909,0.34900000000016,0.350000000000364
"SVP Gaussian / none / c = 0.968",49,48,0.350604166666654,0.349999999999966,0.349999999999909,0.350999999999658
"SVP Gaussian / none / c = 0.968",50,48,0.351437500000012,0.350999999999829,0.349999999999909,0.351000000000113
"SVP Gaussian / none / c = 0.968",51,48,0.351249999999993,0.350000000000364,0.349999999999909,0.351999999999862
"SVP Gaussian / none / c = 0.968",52,48,0.350958333333343,0.350000000000364,0.349999999999909,0.351000000000113
"SVP Gaussian / none / c = 0.968",53,48,0.352187500000011,0.351000000000113,0.350500000000011,0.351999999999975
"SVP Gaussian / none / c = 0.968",54,48,0.351749999999977,0.351499999999987,0.351000000000113,0.351999999999862
"SVP Gaussian / none / c = 0.968",55,48,0.35195833333331,0.351999999999862,0.351000000000113,0.352000000000089
"SVP Gaussian / none / c = 0.968",56,48,0.352270833333345,0.351999999999862,0.351000000000113,0.352999999999952
"SVP Gaussian / none / c = 0.968",57,48,0.352583333333366,0.352000000000317,0.351999999999862,0.353000000000065
"SVP Gaussian / none / c = 0.968",58,48,0.352750000000029,0.352000000000317,0.351999999999862,0.353000000000065
"SVP Gaussian / none / c = 0.968",59,48,0.352583333333366,0.352000000000317,0.351999999999862,0.353000000000065
"SVP Gaussian / none / c = 0.968",60,48,0.352874999999997,0.353000000000065,0.351999999999862,0.353000000000065
"SVP Gaussian / none / c = 0.968",61,48,0.353395833333323,0.352999999999781,0.352000000000317,0.353000000000065
"SVP Gaussian / none / c = 0.968",62,48,0.354458333333319,0.354000000000269,0.353000000000065,0.355000000000018
